Neighborhood,OverallQual,GarageType,LotArea,YearBuilt,HouseStyle,SalePrice
SawyerW,6,Attchd,7892,1979,1Story,99500
Somerst,7,Attchd,11639,2007,1Story,182000
BrkSide,7,Detchd,11414,1910,2Story,167500
Somerst,7,Detchd,2651,2000,2Story,165000
BrkSide,4,NA,5900,1923,1Story,85500
Somerst,7,Attchd,4274,2006,1Story,199900
Edwards,4,Detchd,9450,1954,1Story,110000
Sawyer,5,Detchd,8816,1963,1Story,139000
NAmes,7,Attchd,12122,1961,SFoyer,178400
NoRidge,8,Attchd,12203,1998,2Story,336000
Blmngtn,7,Attchd,3182,2007,1Story,159895
CollgCr,8,Attchd,11250,2002,2Story,255900
Mitchel,5,Attchd,10125,1977,1.5Fin,126000
Edwards,5,Detchd,10880,1950,1Story,125000
OldTown,6,Attchd,5310,1910,1.5Fin,117000
NridgHt,9,Attchd,10159,2009,1Story,395192
NWAmes,6,Attchd,12046,1976,2Story,195000
Somerst,7,Attchd,8125,2006,2Story,197000
NoRidge,8,Attchd,9452,1997,2Story,348000
OldTown,8,Attchd,17671,1882,2Story,168000
NAmes,6,Attchd,9760,1964,2Story,187000
CollgCr,6,Attchd,8846,2005,2Story,173900
NridgHt,10,Attchd,12456,2006,1Story,337500
BrkSide,4,Detchd,4712,1946,1.5Fin,121600
NAmes,5,Attchd,10659,1961,1Story,136500
NWAmes,6,Attchd,11717,1970,1Story,185000
IDOTRR,3,Detchd,9786,1922,1Story,91000
CollgCr,7,Attchd,6762,2006,1Story,206000
Edwards,3,Detchd,10206,1952,1Story,82000
OldTown,5,Detchd,5400,1920,1Story,86000
Somerst,8,Attchd,11957,2006,1Story,232000
NWAmes,5,Detchd,11500,1976,1Story,136905
Blmngtn,7,Attchd,3182,2005,1Story,181000
CollgCr,5,Attchd,8385,1977,SLvl,149900
NAmes,6,Attchd,12155,1970,1Story,163500
MeadowV,4,Attchd,2217,1970,2Story,88000
Mitchel,7,Attchd,12118,2004,1Story,240000
SWISU,5,NA,6000,1926,1.5Fin,102000
Sawyer,5,Attchd,21286,1948,1.5Fin,135000
Edwards,5,NA,9825,1965,1Story,100000
Crawfor,6,Detchd,10592,1923,2Story,165000
OldTown,5,Detchd,7200,1910,1Story,85000
NAmes,6,Detchd,11664,1948,1Story,119200
NWAmes,8,Attchd,8400,2001,2Story,227000
CollgCr,7,Attchd,11883,1996,1Story,203000
StoneBr,8,Attchd,5814,1984,1Story,187500
Gilbert,7,Attchd,10784,1991,SLvl,160000
Blmngtn,7,Attchd,3013,2005,1Story,213490
Edwards,4,Attchd,7024,2005,1Story,176000
CollgCr,7,Attchd,7406,2006,1Story,194000
OldTown,5,Detchd,9439,1930,1.5Fin,87000
Blmngtn,7,Attchd,3182,2005,1Story,191000
Timber,8,Attchd,15498,1976,1Story,287000
CollgCr,5,Detchd,7700,1972,1Story,112500
NAmes,5,Attchd,9300,1960,1Story,167500
Timber,8,Attchd,9520,2007,1Story,293077
NAmes,5,Attchd,9492,1941,1.5Fin,105000
BrDale,6,Detchd,1680,1972,2Story,118000
SWISU,5,NA,7082,1916,2Story,160000
SWISU,7,Basment,15863,1920,2.5Fin,197000
NoRidge,8,Attchd,14541,1993,2Story,310000
CollgCr,7,Attchd,8125,2002,1Story,230000
Crawfor,5,Basment,6305,1938,1Story,119750
Edwards,4,Detchd,11500,1957,1Story,84000
Timber,9,Attchd,12898,2007,1Story,315500
CollgCr,8,BuiltIn,9240,2001,2Story,287000
MeadowV,4,NA,1533,1970,2Story,97000
MeadowV,4,Attchd,1477,1970,SFoyer,80000
Sawyer,5,Attchd,13125,1957,1Story,155000
NWAmes,6,Attchd,9130,1966,2Story,173000
NridgHt,6,Attchd,5381,2005,1Story,196000
SawyerW,7,Attchd,11839,1990,2Story,262280
NWAmes,8,Attchd,9600,1981,1Story,278000
Edwards,3,Attchd,13680,1955,1Story,139600
StoneBr,9,BuiltIn,16056,2005,2Story,556581
CollgCr,5,Detchd,9245,1994,1Story,145000
Mitchel,5,Attchd,21750,1960,1Story,115000
Edwards,4,Detchd,11100,1946,1Story,84900
Gilbert,7,Attchd,8993,2007,1Story,176485
CollgCr,7,Attchd,11175,2007,1Story,200141
NAmes,6,Attchd,9500,1964,2Story,165000
Edwards,5,Basment,8562,1957,1Story,144500
CollgCr,8,Attchd,11367,2002,2Story,255000
NWAmes,6,Attchd,11361,1976,1Story,180000
NridgHt,7,Attchd,7052,2005,1Story,185850
NoRidge,7,BuiltIn,29959,1994,2Story,248000
NridgHt,9,Attchd,11308,2008,2Story,335000
Crawfor,6,Detchd,11275,1932,1.5Fin,220000
StoneBr,8,Attchd,4920,2001,1Story,213500
IDOTRR,3,Detchd,18000,1935,1Story,81000
OldTown,5,Detchd,13600,1900,2Story,90000
OldTown,6,Detchd,6000,1925,1Story,110500
NAmes,5,Attchd,11000,1966,1Story,154000
ClearCr,7,Attchd,14000,1996,2Story,328000
Gilbert,6,Attchd,7837,1993,2Story,178000
NAmes,6,Attchd,9760,1964,2Story,167900
MeadowV,6,Attchd,3964,1973,2Story,151400
NAmes,5,Detchd,9600,1949,1.5Unf,135000
NAmes,5,Attchd,10152,1956,1Story,135000
NWAmes,6,Attchd,11700,1968,2Story,154000
Edwards,5,Detchd,7585,1948,1.5Fin,91500
Edwards,6,Attchd,7950,1977,2Story,159500
CollgCr,7,Attchd,8556,2006,1Story,194000
Crawfor,7,Attchd,13125,1940,2Story,219500
OldTown,5,Attchd,10800,1936,1.5Fin,170000
NAmes,5,Attchd,15870,1969,1Story,138800
CollgCr,6,Attchd,4435,2004,1Story,155900
CollgCr,5,Attchd,8775,1994,1Story,126000
NWAmes,6,Attchd,11040,1971,1Story,145000
Sawyer,5,Attchd,7500,1963,1Story,133000
CollgCr,7,Attchd,8749,2002,1Story,192000
NAmes,6,Attchd,8800,1964,1Story,160000
Gilbert,6,Attchd,13031,1995,2Story,187500
SawyerW,6,Attchd,9069,1992,SFoyer,147000
MeadowV,4,Attchd,1974,1973,2Story,83500
Somerst,8,Attchd,10574,2005,2Story,252000
Edwards,7,Detchd,2522,2004,2Story,137500
Somerst,8,Attchd,3316,2005,1Story,197000
NAmes,3,Detchd,8544,1950,1Story,92900
Somerst,7,Detchd,2160,1999,2Story,160000
SWISU,6,Detchd,8400,1925,1.5Fin,136500
NAmes,5,Detchd,9230,1965,1Story,146000
NAmes,5,Attchd,5868,1956,1Story,129000
CollgCr,6,Attchd,9317,2006,1Story,176432
IDOTRR,6,NA,6882,1914,2Story,127000
StoneBr,8,Attchd,3696,1986,1Story,170000
BrkSide,4,Detchd,6000,1936,1.5Fin,128000
NWAmes,7,Attchd,11880,1978,1Story,157000
SWISU,2,Detchd,8400,1920,1Story,60000
NAmes,5,Detchd,9758,1971,1Story,119500
NAmes,5,Attchd,7000,1960,1Story,135000
NAmes,6,BuiltIn,8910,1959,1Story,159500
BrDale,5,Detchd,2016,1970,2Story,106000
NoRidge,8,Attchd,12256,1994,2Story,325000
SawyerW,7,Attchd,10357,1990,1Story,179900
Gilbert,7,BuiltIn,23257,2006,2Story,274725
Gilbert,6,Attchd,8063,2000,2Story,181000
NridgHt,8,Attchd,11362,2004,1Story,280000
Gilbert,6,Attchd,8000,1995,2Story,188000
NWAmes,7,Attchd,10480,1976,2Story,205000
NAmes,5,Detchd,7100,1957,1Story,129900
NAmes,5,Attchd,8923,1953,1Story,134500
OldTown,5,Detchd,5400,1954,1Story,117000
NridgHt,8,Attchd,12085,2007,1Story,318000
Gilbert,8,BuiltIn,7750,2002,SLvl,184100
Sawyer,5,Attchd,9764,1967,1Story,130000
Sawyer,5,BuiltIn,13825,1958,SLvl,140000
NAmes,5,Attchd,7560,1959,1Story,133700
IDOTRR,6,Detchd,8263,1920,1Story,118400
CollgCr,7,Attchd,10084,2005,1Story,212900
Edwards,4,Basment,8926,1956,1Story,112000
Edwards,5,NA,9405,1947,1Story,118000
Gilbert,7,Attchd,9125,1992,SLvl,163900
NAmes,4,Detchd,10434,1955,1Story,115000
Blmngtn,7,Attchd,3684,2007,1Story,174000
Gilbert,7,Attchd,14572,2004,1Story,259000
Gilbert,7,BuiltIn,11796,2004,2Story,215000
OldTown,5,Detchd,7200,1980,SFoyer,140000
SWISU,4,Detchd,7804,1928,1.5Fin,135000
Mitchel,5,NA,10712,1991,1Story,93500
OldTown,6,Detchd,9900,1880,2Story,117500
SawyerW,8,Attchd,9828,1995,2Story,239500
Gilbert,6,Attchd,8773,1997,2Story,169000
BrkSide,6,Detchd,6180,1926,1Story,102000
NAmes,6,Attchd,9600,1950,1.5Fin,119000
Sawyer,5,NA,6342,1875,1.5Fin,94000
Mitchel,6,Attchd,9819,1977,1Story,196000
BrkSide,5,Detchd,8731,1920,1Story,144000
NAmes,5,Detchd,7350,1951,1Story,139000
NWAmes,5,Attchd,10304,1976,2Story,197500
CollgCr,8,BuiltIn,9965,2006,2Story,424870
Sawyer,5,NA,9000,1959,1Story,80000
Edwards,4,Detchd,12180,1941,1.5Fin,80000
BrkSide,5,Detchd,6240,1928,1.5Fin,149000
SawyerW,6,Attchd,11200,1985,1Story,180000
Crawfor,7,Attchd,12000,1941,2Story,174500
OldTown,7,Detchd,5700,1926,1.5Fin,116900
OldTown,7,Detchd,9000,1920,2Story,143000
NAmes,6,Attchd,8280,1950,1Story,124000
Edwards,5,Attchd,17755,1959,1Story,149900
Crawfor,6,Attchd,14115,1956,1Story,230000
IDOTRR,6,Detchd,5890,1930,1Story,120500
NAmes,7,Attchd,13700,1965,2Story,201800
Veenker,5,Attchd,10768,1976,1Story,218000
NAmes,5,Attchd,9350,1965,SLvl,179900
NridgHt,7,Attchd,5001,2007,1Story,230000
Somerst,8,Attchd,11932,2007,1Story,235128
NWAmes,6,Attchd,9120,1974,2Story,185000
NPkVill,6,Attchd,2280,1978,2Story,146000
Crawfor,6,Detchd,14778,1954,1Story,224000
Sawyer,5,Attchd,8724,1968,1Story,129000
Sawyer,4,CarPort,12900,1969,SFoyer,108959
Veenker,5,Attchd,16157,1978,SLvl,194000
NridgHt,7,Attchd,9541,2009,1Story,233170
CollgCr,8,Attchd,10475,2008,1Story,245350
Gilbert,6,Attchd,10852,2000,2Story,173000
Edwards,6,Basment,13728,1935,2Story,235000

Mitchel,6,Attchd,9880,1977,SLvl,171000
NAmes,6,Attchd,9120,1958,1Story,163000
Somerst,7,Detchd,4017,2006,2Story,171900
ClearCr,5,NA,18030,1946,1.5Fin,200500
Crawfor,6,Detchd,16560,1932,2Story,239000
NoRidge,8,Attchd,10678,1992,1.5Fin,285000
Mitchel,5,Attchd,6951,1984,1Story,119500
OldTown,6,Detchd,3950,1926,1.5Fin,115000
Crawfor,5,Detchd,7681,1921,1.5Fin,154900
Edwards,5,NA,8335,1954,1Story,93000
Timber,7,Attchd,11170,1990,2Story,250000
Crawfor,8,Attchd,5587,2008,1Story,392500

OldTown,5,Detchd,10800,1920,1Story,120000
Timber,5,2Types,35133,1963,1Story,186700
Edwards,5,Attchd,9738,1924,1.5Fin,104900
OldTown,3,CarPort,10615,1900,2Story,95000
NoRidge,8,Attchd,12461,1994,1Story,262000
CollgCr,7,Attchd,8935,2002,2Story,195000
Gilbert,7,Attchd,7500,1999,2Story,189000
Mitchel,4,2Types,32463,1961,1Story,168000
Somerst,8,Detchd,2645,1999,2Story,174000
OldTown,5,Detchd,9600,1925,1.5Fin,125000
Mitchel,6,Attchd,4500,1999,1Story,165000
Sawyer,6,Attchd,9364,1969,2Story,158000
Gilbert,6,Attchd,8029,2005,2Story,176000
Gilbert,7,BuiltIn,14054,2006,2Story,219210
OldTown,7,Detchd,8850,1916,2.5Unf,144000
CollgCr,7,Attchd,9100,2001,1Story,178000
Sawyer,4,Attchd,11235,1963,1Story,148000
NAmes,4,Attchd,9353,1970,1Story,116050
CollgCr,7,Attchd,10400,1998,2Story,197900
BrkSide,5,Detchd,6000,1925,1.5Fin,117000
CollgCr,7,Attchd,9750,2000,1Story,213000
NWAmes,5,Attchd,10140,1975,1Story,153500
SawyerW,7,Attchd,14684,1990,1Story,271900
SawyerW,4,Detchd,8900,1966,1Story,107000
CollgCr,6,Attchd,9135,2003,1Story,200000
NAmes,5,Detchd,7763,1962,1Story,140000
Somerst,8,Attchd,10182,2006,1Story,290000
SawyerW,6,Attchd,11218,1992,2Story,189000
Gilbert,8,Basment,12134,1988,1.5Fin,164000
Edwards,4,Attchd,9340,1941,1Story,113000
Sawyer,4,Attchd,10246,1965,SLvl,145000
NAmes,5,Attchd,10205,1962,SFoyer,134500
Sawyer,5,Detchd,7094,1966,1Story,125000
Sawyer,6,Attchd,8930,1978,1.5Fin,112000
Somerst,8,Attchd,8640,2009,1Story,229456
BrkSide,4,NA,6240,1947,1.5Fin,80500
BrDale,6,NA,1680,1971,2Story,91500
NAmes,5,Attchd,7800,1964,1Story,115000
Sawyer,5,Attchd,8250,1968,1Story,134000
NAmes,6,Attchd,10496,1949,1.5Fin,143000
NAmes,5,Detchd,10680,1951,1Story,137900
Gilbert,7,Attchd,15384,2004,2Story,184000
NAmes,6,Attchd,10482,1958,SLvl,145000
Somerst,6,BuiltIn,14598,2007,2Story,214000
NAmes,5,Detchd,8872,1965,1Story,147000
NridgHt,9,Attchd,8769,2008,1Story,367294
NAmes,5,Basment,7910,1960,SLvl,127000
Sawyer,5,BuiltIn,18890,1977,1.5Fin,190000
NAmes,5,Attchd,7728,1962,SLvl,132500
NAmes,4,CarPort,9842,1962,1Story,101800
NAmes,5,Attchd,12160,1959,1Story,142000
SWISU,5,NA,8525,1911,2Story,130000
Crawfor,5,Detchd,13132,1914,2Story,138887
NridgHt,7,BuiltIn,2628,2003,2Story,175500
CollgCr,7,BuiltIn,12393,2004,2Story,195000
SawyerW,6,Detchd,13072,2005,1Story,142500
Timber,8,Attchd,9037,2006,1Story,265900
CollgCr,7,Attchd,8158,2003,2Story,224900
Somerst,7,Attchd,9849,2007,1Story,248328
NWAmes,7,Attchd,10625,1974,SFoyer,170000
NridgHt,10,Attchd,13891,2006,1Story,465000
Crawfor,8,Detchd,11435,1929,2Story,230000
NWAmes,6,BuiltIn,12090,1984,SLvl,178000
Somerst,7,Attchd,8125,2005,2Story,186500
Mitchel,6,Attchd,12328,1976,SLvl,169900
OldTown,6,Detchd,9600,1917,2.5Unf,129500
NAmes,5,Attchd,7200,1950,1Story,119000
NAmes,7,Attchd,11160,1968,1Story,244000
NridgHt,7,Attchd,3136,2003,1Story,171750
Mitchel,5,Attchd,9858,1968,1Story,130000
Veenker,7,Attchd,17542,1974,2Story,294000
Edwards,7,BuiltIn,6931,2003,2Story,165400
BrkSide,6,Detchd,6240,1931,1.5Fin,127500
NoRidge,8,Attchd,14303,1994,1Story,301500
Edwards,5,NA,4060,1922,1Story,99900
Gilbert,7,Attchd,9587,2005,SLvl,190000
NAmes,6,Attchd,9750,1969,1Story,151000
Gilbert,6,BuiltIn,24682,1999,2Story,181000
NAmes,5,Attchd,9600,1956,1Story,128900
ClearCr,4,Attchd,11250,1957,1.5Fin,161500
BrkSide,6,Detchd,13515,1919,2Story,180500
NAmes,6,Attchd,4060,1998,1Story,181000
Somerst,7,Detchd,3735,1999,2Story,183900
OldTown,7,Detchd,10120,1910,2.5Unf,122000
Timber,9,Attchd,13214,2008,1Story,378500
Crawfor,8,BuiltIn,14100,1935,1.5Fin,381000
NAmes,5,Attchd,11344,1958,1.5Fin,144000
ClearCr,7,Attchd,23595,1979,1Story,260000
NWAmes,6,Attchd,9156,1968,1Story,185750
Sawyer,5,Attchd,13526,1965,1Story,137000
Edwards,6,Basment,11512,1959,SLvl,177000
Crawfor,5,Detchd,5362,1910,1.5Fin,139000
NAmes,5,Detchd,11345,1948,2Story,137000
NWAmes,6,Attchd,12936,1972,2Story,162000
NWAmes,6,Attchd,17871,1967,SLvl,197900
CollgCr,8,Attchd,9473,2002,2Story,237000
IDOTRR,4,Detchd,7500,1920,1.5Fin,68400
CollgCr,7,Attchd,9808,2002,1Story,227000
Timber,7,Attchd,8049,1990,1Story,180000
CollgCr,5,Detchd,8800,1977,1Story,150500
Mitchel,6,NA,9400,1971,2Story,139000
SWISU,6,Detchd,9638,1919,1.5Fin,169000
BrkSide,6,Detchd,6000,1939,1.5Fin,132500
NWAmes,6,Attchd,9790,1963,1Story,143000
ClearCr,5,Attchd,36500,1964,1Story,190000
StoneBr,8,Attchd,5664,2000,1Story,278000
NridgHt,8,BuiltIn,11065,2006,2Story,281000
NAmes,5,Attchd,14112,1964,SLvl,180500
BrDale,5,Detchd,1680,1972,2Story,119500
OldTown,5,Attchd,6600,1892,2Story,107500
NWAmes,7,Attchd,10140,1976,2Story,162900
Edwards,5,Detchd,8172,1955,1Story,115000
NAmes,5,Attchd,8400,1968,1Story,138500
NAmes,5,Attchd,8700,1963,1Story,155000
Edwards,6,Basment,3675,2005,SFoyer,140000
Edwards,10,Attchd,63887,2008,2Story,160000
NAmes,5,Attchd,7500,1959,1Story,154000
Gilbert,7,Attchd,10762,1999,2Story,225000
Crawfor,6,Attchd,7500,1942,2Story,177500
NoRidge,8,Attchd,10120,1994,2Story,290000
Somerst,7,Attchd,8688,2005,1Story,232000
Edwards,7,Detchd,3363,2004,2Story,130000
NridgHt,9,Attchd,13173,2006,1Story,325000
NridgHt,7,Attchd,6955,2005,1Story,202500
CollgCr,5,Detchd,8072,1994,1Story,138000
OldTown,5,Attchd,12000,1948,1Story,147000
SawyerW,6,Attchd,7153,1991,1Story,179200
Crawfor,7,Attchd,17500,1959,1Story,335000
CollgCr,7,Attchd,8814,2005,1Story,203000
NoRidge,8,Attchd,9572,1990,2Story,302000
NoRidge,9,BuiltIn,14774,1999,2Story,333168
Edwards,4,Detchd,8190,1954,1Story,119000
NAmes,6,Attchd,11075,1969,2Story,206900
CollgCr,8,Attchd,10226,2008,1Story,295493
Somerst,7,Attchd,4230,2006,1Story,208900
CollgCr,8,Attchd,14781,2001,1Story,275000
Edwards,4,Attchd,10215,1954,1Story,111000
NAmes,6,Attchd,8400,1957,1Story,156500
BrkSide,3,Detchd,6627,1949,1Story,72500
NoRidge,7,Attchd,10186,1992,2Story,190000
BrkSide,4,NA,5330,1940,1Story,82500
Somerst,8,Attchd,9986,2006,1Story,147000
IDOTRR,4,NA,3636,1922,1Story,55000
Edwards,3,NA,4270,1931,1Story,79000
Mitchel,5,Attchd,6600,1982,1Story,130500
OldTown,6,Detchd,10440,1920,1.5Fin,256000
Gilbert,7,Attchd,9084,1998,2Story,176500
Somerst,8,Attchd,10000,2006,1Story,227000
CollgCr,5,Detchd,10780,1976,SLvl,132500
Edwards,4,Detchd,8877,1938,1Story,100000
IDOTRR,5,Detchd,7200,1938,1.5Fin,125500
BrDale,5,Attchd,2368,1970,2Story,125000
NWAmes,6,Attchd,9650,1977,1Story,167900
NWAmes,5,Detchd,9246,1973,1Story,135000
OldTown,4,NA,4118,1941,1Story,52500
CollgCr,7,BuiltIn,13450,2002,2Story,200000
CollgCr,5,Attchd,9560,1972,1Story,128500
NAmes,4,Detchd,8294,1971,1Story,123000
SawyerW,6,Detchd,13695,2003,1Story,155000
CollgCr,8,Attchd,9375,2002,2Story,228500
Crawfor,6,Detchd,7558,1928,1.5Fin,177000
CollgCr,7,Attchd,11103,2006,2Story,155835
OldTown,4,Detchd,6000,1920,1Story,108500
NWAmes,7,Attchd,20781,1968,1Story,262500
Timber,8,Attchd,15306,2006,1Story,283463
SawyerW,7,Attchd,16196,1998,1Story,215000
OldTown,8,NA,5250,1872,2Story,122000
NAmes,5,Detchd,11643,1969,2Story,200000
NAmes,6,Attchd,9247,1962,2Story,171000
BrkSide,6,Detchd,6000,1937,1.5Fin,134900
NoRidge,8,Attchd,14720,1995,1.5Fin,410000
CollgCr,7,Attchd,10316,2000,2Story,235000
NWAmes,7,Attchd,10192,1968,SLvl,170000
NAmes,5,Attchd,9477,1966,1Story,110000
NAmes,5,Attchd,12537,1971,1Story,149900
Somerst,6,Detchd,2117,2000,2Story,177500
NridgHt,9,Attchd,16737,2004,1Story,315000
SWISU,5,BuiltIn,9842,1921,2Story,189000
StoneBr,7,Attchd,16158,2005,1Story,260000
NAmes,4,Attchd,12513,1920,1.5Fin,104900
Gilbert,6,BuiltIn,8499,2006,2Story,156932
Somerst,7,Detchd,3180,2005,2Story,144152
Somerst,7,Attchd,7500,2000,2Story,216000
CollgCr,7,Attchd,9179,1999,2Story,193000
MeadowV,5,Attchd,2665,1977,2Story,127000
CollgCr,6,Attchd,4435,2003,1Story,144000
CollgCr,8,Attchd,10635,2003,1Story,232000
OldTown,4,Detchd,5400,1920,1.5Fin,105000
NAmes,6,BuiltIn,9600,1955,SLvl,165500
CollgCr,7,Detchd,9750,1998,2Story,274300
NoRidge,10,Attchd,11400,2001,1Story,466500
Somerst,7,Attchd,10625,2005,2Story,250000
Timber,8,Attchd,10991,2007,1Story,239000
SWISU,6,Detchd,6292,1930,1Story,91000
Edwards,5,Detchd,10998,1941,1.5Fin,117000
BrDale,6,Detchd,1953,1973,2Story,83000
Timber,5,BuiltIn,9735,2006,SLvl,167500
Edwards,3,Detchd,8212,1914,1Story,58500
NAmes,6,Attchd,12925,1970,1Story,237500
OldTown,7,Detchd,7200,1920,2Story,157000
Sawyer,5,Attchd,25339,1918,1Story,112000
Edwards,6,Detchd,9060,1939,1.5Fin,105000
IDOTRR,4,Detchd,5436,1922,1.5Fin,125500
NWAmes,7,Attchd,16692,1978,2Story,250000
OldTown,6,Detchd,8520,1916,1.5Fin,136000
Gilbert,9,Attchd,14892,2006,1Story,377500
BrkSide,6,Detchd,6000,1941,1.5Fin,131000
CollgCr,7,Attchd,9100,2000,1Story,235000
NAmes,5,Detchd,8944,1967,1Story,124000
NAmes,5,Attchd,7838,1967,SFoyer,123000
OldTown,6,Detchd,10800,1905,1.5Fin,163000
Blmngtn,7,Attchd,4045,2006,1Story,246578
Timber,8,BuiltIn,12665,2005,2Story,281213
Timber,5,Detchd,57200,1948,1Story,160000
BrkSide,5,Detchd,6120,1920,2Story,137500
NAmes,5,Attchd,7200,1950,1.5Fin,138000
SWISU,6,Detchd,6171,1925,1.5Fin,137450
BrkSide,6,BuiltIn,6000,1929,1.5Fin,120000
Gilbert,6,Attchd,7415,2004,2Story,193000
CollgCr,7,Attchd,6762,2006,1Story,193879
Somerst,8,Attchd,15256,2007,1Story,282922
OldTown,3,Detchd,10410,1915,1.5Fin,105000
Crawfor,8,Attchd,3842,2004,1Story,275000
CollgCr,5,Detchd,8445,1972,SFoyer,133000
Mitchel,5,NA,8780,1985,1Story,112000
OldTown,4,Detchd,7740,1910,2Story,125500
NWAmes,7,Attchd,20544,1986,2Story,215000
CollgCr,7,Attchd,12420,2001,2Story,230000
NAmes,6,Attchd,9600,1950,1.5Fin,140000
NAmes,4,Detchd,7200,1949,1Story,90000
SawyerW,8,Attchd,10994,2005,1Story,257000
BrkSide,6,Detchd,13053,1923,1.5Fin,207000
Blmngtn,7,Attchd,3635,2007,1Story,175900
OldTown,4,Detchd,11340,1885,2Story,122500
NoRidge,8,Attchd,16545,1998,2Story,340000
NAmes,5,Detchd,9204,1963,1Story,124000
Crawfor,6,Attchd,16381,1969,1Story,223000
NWAmes,6,Attchd,11700,1968,2Story,179900
NPkVill,6,Attchd,4043,1977,1Story,127500
CollgCr,6,Attchd,4435,2003,1Story,136500
Edwards,6,Attchd,19690,1966,SLvl,274970
NAmes,5,Detchd,9503,1958,1Story,144000
NAmes,6,Detchd,10721,1959,1Story,142000
NoRidge,7,Attchd,10944,1994,2Story,271000
NAmes,5,Attchd,10930,1945,1.5Fin,140000
OldTown,5,Attchd,7200,1940,1Story,119000
NWAmes,6,Attchd,12546,1981,1Story,182900
Gilbert,5,BuiltIn,21930,2005,2Story,192140
NPkVill,6,Attchd,4928,1976,1Story,143750
OldTown,4,Detchd,10800,1927,1Story,64500
Gilbert,6,Attchd,10261,2000,2Story,186500
Mitchel,5,Attchd,17400,1977,1Story,160000
NAmes,6,Attchd,8400,1962,1Story,174000
NAmes,4,Detchd,9000,1971,1Story,120500
NridgHt,8,Attchd,12444,2008,1Story,394617
OldTown,6,Attchd,7407,1957,1Story,149700
NWAmes,7,Attchd,11584,1979,SLvl,197000
Crawfor,6,Detchd,11526,1922,2.5Fin,191000
CollgCr,6,Attchd,4426,2004,1Story,149300
Somerst,10,Attchd,11003,2008,2Story,310000
BrkSide,6,Detchd,8854,1916,1.5Unf,121000
CollgCr,7,Attchd,8500,2004,1Story,179600
Sawyer,6,Detchd,8400,1966,SFoyer,129000
Mitchel,5,Attchd,26142,1962,1Story,157900
CollgCr,8,Attchd,10000,1995,2Story,240000
Edwards,4,Detchd,11767,1910,2Story,112000
MeadowV,5,NA,1533,1970,SFoyer,92000
NAmes,5,NA,9000,1974,2Story,136000
Somerst,8,Attchd,9262,2008,1Story,287090
Edwards,5,Basment,3675,2005,SLvl,145000
Mitchel,5,NA,17217,2006,1Story,84500
Somerst,7,Attchd,7500,2004,1Story,185000
Gilbert,6,Attchd,7917,1999,2Story,175000
NWAmes,6,Attchd,13175,1978,1Story,210000
Crawfor,7,Attchd,9042,1941,2Story,266500
NAmes,5,Attchd,9717,1950,1Story,142125
Edwards,5,Attchd,9937,1965,1Story,147500
